,Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
,,LM2903BIDR,36V JI.3 DUAL COMPARATOR,"UGrnn, URd",CMP-04896-000007-1,New From Design,Up to date,2,Texas Instruments,LM2903BIDR,Volume Production,DigiKey,296-LM2903BIDRCT-ND,0.26,0.52
,,CRCW08051K00JNEC,"RES Thick Film, 1kΩ, 5%, 0.125W, 200ppm/°C, 0805","1K_1, 1K_2",CMP-02407-005778-1,New From Design,Up to date,2,Vishay,CRCW08051K00JNEC,Volume Production,DigiKey,541-CRCW08051K00JNECCT-ND,0.1,0.2
,,MCU08050D1004BP500,RES 1.05K OHM 0.5% 1/5W 0805,"1M_1, 1M_2",CMP-02407-001361-1,New From Design,Up to date,2,Vishay,MCU08050D1004BP500,Volume Production,Mouser,594-MCU08050D1004BP5,0.44,0.88
,,Capacitor 1µF +/-20% 10V 0402,"Chip Capacitor, 1µF +/-20%, 10V, 0402, Thickness 0.6 mm","1uF_1, 1uF_2",CMP-001-00063-3,Draft,Up to date,2,Yageo Group,CC0402KRX5R6BB105,Volume Production,Arrow Electronics,CC0402KRX5R6BB105,0.0118,118
,,2K2 5% 0402(1005),2K2 0.063W 5% 0402 (1005 Metric)  SMD,"2.2K_1, 2.2K_3",CMP-1011-00082-1,Released,Up to date,2,Yageo Group,RC0402JR-072K2L,Volume Production,Arrow Electronics,RC0402JR-072K2L,0.0007,7
,,BZD27C5V1P-E3-08,DIODE ZENER 5.1V 800MW DO219AB,"5.1V_ZD, D_4",CMP-02541-000027-1,New From Design,Up to date,2,Vishay,BZD27C5V1P-E3-08,Volume Production,Arrow Electronics,BZD27C5V1P-E3-08,0.6772,1.3544
,,TNPW121010K0BEEN,,"10K__9, 10K_1, 10K_2, 10K_3, 10K_3r, 10K_4, 10K_5, 10K_6, 10K_7, 10K_10, 10K_11, 10K_12, 10K_13, 10K_14, 10K_i3, 10K_rrr",CMP-2005-00857-1,Released,Up to date,16,Vishay,TNPW121010K0BEEN,Volume Production,Mouser,71-TNPW121010K0BEEN,1.48,23.68
,,LM7805CT,"Positive Voltage Regulator, 5 V, 1 A, -40 to 125 degC, 3-Pin TO-220, RoHS, Tube",12V_5V_REG,CMP-2000-04938-1,Released,Up to date,1,onsemi,LM7805CT,Obsolete,,,,
,,THN 20-1212,THN 20-1212 Module DC-DC 12VIN 1-OUT 12V 1.67A 20W 6-Pin,12V_12V_DC-DC,CMP-01539-55433698-1,New From Design,Up to date,1,Traco Power,THN 20-1212,Volume Production,DigiKey,THN20-1212-ND,46.58,46.58
,,CRCW121822K0FKEK,"RES Thick Film, 22kΩ, 1%, 1W, 100ppm/°C, 1218",22K_2,CMP-1016-00638-2,Unknown server,Up to date,1,Vishay,CRCW121822K0FKEK,Volume Production,Mouser,71-CRCW121822K0FKEK,0.6,0.6
,,27K 1% 2010(5025),27K 0.75W 1% 2010 (5025 Metric)  SMD,27K_1,CMP-1017-00670-1,Released,Up to date,1,Vishay,CRCW201027K0FKTF,Volume Production,DigiKey,CRCW201027K0FKTF-ND,0.09848,393.92
,,4K7 5% 1210(3225),4K7 0.5W 5% 1210 (3225 Metric)  SMD,47K_n,CMP-1015-00090-1,Released,Up to date,1,Vishay,CRCW12104K70JNEA,Volume Production,Arrow Electronics,CRCW12104K70JNEA,0.0085,0.0085
,,56K 5% 0805(2012),56K 0.125W 5% 0805 (2012 Metric)  SMD,56K_1,CMP-1013-00116-1,Released,Up to date,1,Vishay,CRCW080556K0JNEA,Volume Production,Arrow Electronics,CRCW080556K0JNEA,0.001,0.001
,,CRCW121082K0FKEA,RES SMD 205K OHM 1% 1/2W 2203,"82K_1, 82K_2",CMP-1015-00726-2,Unknown server,Up to date,2,Yageo Group,RC1210FR-0782KL,Volume Production,Mouser,603-RC1210FR-0782KL,0.13,0.26
,,TNPW0805100KDEEA,,"100K_1, 100K_2, 100K_3, RA_100K, RB_100K",CMP-2001-04708-1,Released,Up to date,5,Vishay,TNPW0805100KDEEA,Volume Production,DigiKey,541-3911-1-ND,0.14,0.7
,,C0805C104K5RACTU,CAP CER 0.1UF 50V X7R 0805,"100nF_1, 100nF_2, 100nF_3, 100nF_4, 100nF_6, 100nF_7, 100nF_8, 100nF_9, 100nF_10, 100nF_11",CMP-2007-00279-2,Unknown server,Up to date,10,Yageo Group,C0805C104K5RACTU,Volume Production,Conrad,3523445,0.01142,0.11424
,,Capacitor 0.1 uF +/- 5% 16 V 0402,"Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)","100nF_13, 100nF_14",CMP-001-00001-6,Draft,Up to date,2,Murata,GRM155R71C104JA88D,Not Recommended for New Design,DigiKey,490-6327-6-ND,0.1,0.2
,,Capacitor 330µF +/-20% 6.3V D3,"Molded Tantalum Polymer Capacitor, 330 uF, +/- 20%, 6.3 V, -55 to 105 degC, 2-Pin SMD, RoHS, Tape and Reel",330uF,CMP-001-00058-3,Draft,Up to date,1,Panasonic,6TPF330M9L,Volume Production,DigiKey,P16258CT-ND,2.98,2.98
,,NE555DR,IC OSC SGL TIMER 100KHZ 8-SOIC,555_1,CMP-1685-00007-2,Unknown server,Up to date,1,Texas Instruments,NE555DR,Volume Production,Arrow Electronics,NE555DR,0.2709,0.2709
,,SN74LVC2G08IDCTRQ1,"Automotive Catalog Dual 2-Input Positive-AND Gate, DCT0008A, LARGE T&R","AND_1, AND_2, AND_PWR_1, AND_PWR_IC, ANDA, ANDB",CMP-0859-00543-3,Released,Up to date,6,Texas Instruments,SN74LVC2G08IDCTRQ1,Volume Production,Arrow Electronics,SN74LVC2G08IDCTRQ1,0.5911,3.5466
,,JANTX2N2222AUB/TR,JANTX2N2222AUB/TR Trans Gp Bjt NPN 50V 0.8A 3-PIN Ub T/r,BJT_1,CMP-00252-101463705-1,New From Design,Up to date,1,Microchip,JANTX2N2222AUB/TR,Volume Production,Avnet,JANTX2N2222AUB/TR,5.7232,5.7232
,,CAP_2.2uF-10V-10%-0603,2.2µF ±10% 16V Ceramic Capacitor X5R 0603 (1608 Metric),C_2.2uF,CMP-001-00120-1,Draft,Up to date,1,Yageo Group,C0603C225K4PACTU,Volume Production,Arrow Electronics,C0603C225K4PACTU,0.0174,69.6
,,691213710003,"213 Series 5MM Pitch Straight, Pcb Terminal Block, Through Hole, 3 Way","CMD_CONN, FB_CONN, GLVconnect, SCSnDASHind",CMP-1502-02527-3,Released,Up to date,4,Wurth Elektronik,691213710003,Volume Production,DigiKey,732-2039-ND,1.43,5.72
,,39-29-4069,39-29-4069 Conn Power HDR 6 POS 4.2mm Solder RA Thru-Hole 6 Terminal 1 Port Mini-Fit Jr™ Bag,"Con B, conn A, TSconnec",CMP-00257-06821913-1,New From Design,Up to date,3,Molex,39-29-4069,Volume Production,Arrow Electronics,0039294069,3.6752,11.0256
,,1N4148,DIODE GEN PURP 100V 200MA DO35,D2,CMP-07163-000046-1,New From Design,Up to date,1,onsemi,1N4148,Volume Production,Arrow Electronics,1N4148,0.0045,0.0045
,,1N4007,"Rectifier diode 1000 V 1 A DO-41, ,",drec,CMP-123542-000001-1,New From Design,Up to date,1,Diotec,1N4007,Volume Production,Conrad,162272,0.03427,0.03427
,,2N7002H6327XTSA2,MOSFET N-CH 60V 0.3A SOT23,"M1, M2, M4",CMP-32901-000180-1,New From Design,Up to date,3,Infineon,2N7002H6327XTSA2,Volume Production,Arrow Electronics,2N7002H6327XTSA2,0.0398,119.4
,,IRLML6402TRPBF,MOSFET P-CH 20V 3.7A SOT-23,M3,CMP-32901-000130-1,New From Design,Up to date,1,Infineon,IRLML6402TRPBF,End of Life,Conrad,162833,0.0914,0.0914
,,9775036360R,"WA-SMSR SMT Steel Spacer, Reverse M3 non Stop","MP1, MP2, MP3, MP4",CMP-03913-78872569-2,New From Design,Up to date,4,Wurth Elektronik,9775036360R,Volume Production,DigiKey,732-10913-1-ND,1.09,4.36
,,CD4011BF3A,"CMOS Quad 2-Input NAND Gate, J0014A, TUBE","NAND_PWR_IC, NOT_A, NOT_B, NOT_C, NOT_D",CMP-1627-00341-2,Released,Up to date,5,Texas Instruments,CD4011BF3A,Volume Production,Arrow Electronics,CD4011BF3A,18.53,685.61
,,PC817X1J000F,OPTOISOLATOR 5KV TRANS 4DIP,"OP1_1, OPT_2",CMP-65434-000003-1,New From Design,Up to date,2,Sharp,PC817X1J000F,Obsolete,,,,
,,CD4071BPWR,"CMOS Quad 2-Input OR Gate, PW0014A, LARGE T&R","OR_PWR_IC, ORA, ORB, ORC, ORRD",CMP-1573-00201-3,Released,Up to date,5,Texas Instruments,CD4071BPWR,Not Recommended for New Design,DigiKey,296-24349-1-ND,0.8,4
,,MC14044BDG,MC14044BDG 4044 Tube 4000B ACTIVE (Last Updated: 5days ago) latch circuit 350ns 8.8mA 8.8mA 175ns 1.5mm,SR_Ltch,CMP-00278-00853159-1,New From Design,Up to date,1,onsemi,MC14044BDG,Volume Production,Arrow Electronics,MC14044BDG,0.3195,15.336
,,SN74LV86ATPWRG4Q1,"Automotive Catalog Quadruple 2-Input Exclusive-OR Gates, PW0014A, LARGE T&R","XOR_PWR_IC, XORA, XORB, XORC, XORD",CMP-0778-00153-3,Released,Up to date,5,Texas Instruments,SN74LV86ATPWRG4Q1,Volume Production,DigiKey,296-SN74LV86ATPWRG4Q1CT-ND,0.8,4
